,Chatting,link_count,word_count,sentence_length,has_numeric,has_emoticon,language_detection,language_py3_detection,py3_confidence,stopword_count,repeated_chars_count,sentiment_score,pos_tag_counts,flesch_reading_ease,gunning_fog_index
32,Uss ki tablet theik nehi ha wo nahi uth rha ami kha rahi jeise app ko behtar lagta ha   kr lo,0,21,93,False,False,et,sw,-283.84744,0,4,0.5859,{'NNP': 1},92.46,8.4
33,https://www.facebook.com/reel/983554025986056?sfnsn=scwspwa&mibextid=TIkmJG,1,1,75,True,False,Unknown,es,1.079452,0,7,0.0,{'NN': 1},-640.19,80.4
34,http://Www.joinasf.gov.pk,1,1,25,False,False,Unknown,fi,-7.535854,0,3,0.0,{'NN': 1},-132.59,0.4
35,Acha,0,1,4,False,False,en,en,9.06184,0,0,0.0,{'NN': 1},121.22,0.4
36,Ahsan y to print karwata lana,0,6,29,False,False,tl,en,-33.610325,2,0,0.0,{'NNP': 1},73.85,9.07
37,agr mumkin ho to,0,4,16,False,False,en,en,-14.511101,1,0,0.0,{'NN': 1},118.18,1.6
38,Wagarna bta do,0,3,14,False,False,so,sv,-14.224302,1,0,0.0,{'NNP': 1},59.97,14.53
39,Pesei nai,0,2,9,False,False,fi,de,-4.416415,0,0,0.0,{'NNP': 1},77.91,0.8
40,mn khud kuch krta hon,0,5,21,False,False,cs,et,-22.855536,0,0,0.0,{'NN': 1},100.24,2.0
41,okay,0,1,4,False,False,tl,en,9.06184,0,0,0.2263,{'NN': 1},121.22,0.4
42,"Yr Abuzar ko paisa la k karwa lin
Agr ho sakda ta das

Wrna phir mn khud chala jata hn",0,20,86,False,False,sw,sw,-162.6396,0,1,0.0,{'NNP': 1},76.56,8.0
43,"Okay chalo 
Mn khud ja rha hn",0,7,29,False,False,so,zu,-46.484005,0,0,0.2263,{'NNP': 1},106.67,2.8
44,Abdullah ka dehan rakhna,0,4,24,False,False,so,ms,-38.53688,0,1,0.0,{'NNP': 1},50.5,11.6
45,Koi cheez hi khela da,0,5,21,False,False,sw,eu,-47.508198,0,1,0.0,{'NNP': 1},117.16,2.0
46,Transport Schedule during summer breaks,0,5,39,False,False,en,nb,-43.655098,1,1,0.0,{'NNP': 1},49.48,2.0
